	AT4G32330.1_ARATH	AT4G32330.2_ARATH	AT4G32330.3_ARATH	BGIOSGA007747-PA_ORYSI	Bra023953.1-P_BRARP	Bra040075.1-P_BRARP	GLYMA04G07100.1_SOYBN	GLYMA04G07100.2_SOYBN	GLYMA04G07100.3_SOYBN	GLYMA06G07190.1_SOYBN	GLYMA14G14400.3_SOYBN	GLYMA14G14400.4_SOYBN	GLYMA17G31990.2_SOYBN	GLYMA17G31990.3_SOYBN	GLYMA17G31990.4_SOYBN	GLYMA17G31990.5_SOYBN	GRMZM2G090935_P01_MAIZE	GRMZM2G090935_P02_MAIZE	GRMZM2G452633_P01_MAIZE	GRMZM2G452633_P02_MAIZE	GRMZM2G452633_P03_MAIZE	OB02G16980.1_ORYBR	OBART02G07690.1_ORYBA	OBART02G07690.2_ORYBA	OGLUM02G07750.1_ORYGU	OGLUM02G07750.2_ORYGU	OGLUM02G07750.3_ORYGU	OMERI02G08620.1_ORYME	ONIVA02G09200.1_ORYNI	OPUNC02G06880.1_ORYPU	ORGLA02G0072300.1_ORYGL	ORUFI02G07800.1_ORYRU	OS02T0200800-01_ORYSA	POPTR_0006s27050.1_POPTR	POPTR_0018s01730.1_POPTR	Sb04g006860.1_SORBI	Solyc06g066030.2.1_SOLLC	Solyc08g059800.2.1_SOLLC
AT4G32330.1_ARATH	-	0	0	0.9	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.4	0.4	0.9	0.4	0.4
AT4G32330.2_ARATH	0	-	0	0.9	0.9	0.9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.4	0.4	0.9	0.4	0.4
AT4G32330.3_ARATH	0	0	-	0.9	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.4	0.4	0.9	0.4	0.4
BGIOSGA007747-PA_ORYSI	0.9	0.9	0.9	-	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1	1	1	1	1	0.9	0.9	0.9	0.9	0.9	0.9	1	1	1	0.9	0.9	0.9	0.8	0.8	1	0.8	0.8
Bra023953.1-P_BRARP	1	0.9	1	0.9	-	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.4	0.4	0.9	0.4	0.4
Bra040075.1-P_BRARP	1	0.9	1	0.9	0	-	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.4	0.4	0.9	0.4	0.4
GLYMA04G07100.1_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	-	0	0	0	0	0	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA04G07100.2_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	-	0	0	0	0	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA04G07100.3_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	-	0	0	0	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA06G07190.1_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	-	0	0	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA14G14400.3_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	-	0	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA14G14400.4_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	0	-	0	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA17G31990.2_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	0	0	-	0	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA17G31990.3_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	0	0	0	-	0	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA17G31990.4_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	0	0	0	0	-	0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GLYMA17G31990.5_SOYBN	0.1	0.1	0.1	0.9	0.1	0.1	0	0	0	0	0	0	0	0	0	-	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.5	0.5	0.9	0.8	0.8
GRMZM2G090935_P01_MAIZE	0.9	0.9	0.9	1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	-	0	0	0	0	0.9	1	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.9	0.8	0.8
GRMZM2G090935_P02_MAIZE	0.9	0.9	0.9	1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0	-	0	0	0	0.9	1	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.9	0.8	0.8
